Order on page,CLASS,Bestower,Category,Link,Client
1,GOLD,Muse Awards,Video: Art & Design,https://museaward.com/winner-info.php?id=231433,[ Comics Kingdom Anthem ]
2,GOLD,Muse Awards,Video: Branding,https://museaward.com/winner-info.php?id=231434,[ Comics Kingdom Anthem ]
3,GOLD,Muse Awards,Logo Design,https://museaward.com/winner-info.php?id=231456,[ Sage Integrative Health ]
4,GOLD,Muse Awards,Brand Identity,https://museaward.com/winner-info.php?id=231449,[ Wizehire Rebrand ]
5,GOLD,Muse Awards,Logo Design,https://museaward.com/winner-info.php?id=231663,[ Wizehire Rebrand ]
6,GOLD,Muse Awards,Style Guide,https://museaward.com/winner-info.php?id=231451,[ Wizehire Rebrand ]
7,GOLD,Muse Awards,Mobile App: Themes,https://museaward.com/winner-info.php?id=231484,[ Puzzle Palace ]
8,GOLD,Muse Awards,Social: Diversity / Equity / Inclusion,https://museaward.com/winner-info.php?id=231443,[ Metro Vein: Doll Edition ]
9,GOLD,Muse Awards,Social: Ad Campaign,https://museaward.com/winner-info.php?id=231442,[ Metro Vein: Doll Edition ]
10,GOLD,Muse Awards,Interactive Brand Experience,https://museaward.com/winner-info.php?id=231664,[ Kindra Peri/Menopause Quiz ]
11,SILVER,Muse Awards,Interior Design,https://design.museaward.com/winner-info.php?id=25797,[ Ample Flagship Studio ]
12,GOLD,Muse Awards,Brand Identity,https://museaward.com/winner-info.php?id=231457,[ Comics Kingdom Rebrand ]
13,GOLD,Muse Awards,Style Guide,https://museaward.com/winner-info.php?id=231445,[ Week& Bespoke Brand Identity Birth ]
14,OUTSTANDING ACHIEVEMENT,HOW Awards,Magazine Design,[LINK TO CURVE REPORT INTERIOR PAGE],[ The Curve Report: American Woman ]
15,GOLD,Muse Awards,Branded Content: Cause / Awareness,https://museaward.com/winner-info.php?id=231462,[ Say More Conversation & Journaling Cards ]
16,GOLD,Muse Awards,Branded Content: Diversity / Equity / Inclusion,https://museaward.com/winner-info.php?id=231463,[ Say More Conversation & Journaling Cards ]
17,GOLD,Muse Awards,Branded Content: Influencer Marketing,https://museaward.com/winner-info.php?id=231464,[ Say More Conversation & Journaling Cards ]
18,GOLD,Muse Awards,Branded Content: Other_,https://museaward.com/winner-info.php?id=231461,[ Say More Conversation & Journaling Cards ]
19,GOLD,Muse Awards,Video: Publishing,https://museaward.com/winner-info.php?id=231438,[ Comics Kingdom Anthem ]
20,GOLD,Muse Awards,Video: Other_,https://museaward.com/winner-info.php?id=231437,[ Comics Kingdom Anthem ]
21,GOLD,Muse Awards,Corporate Identity Redesign,https://museaward.com/winner-info.php?id=231450,[ Wizehire Rebrand ]
22,GOLD,Muse Awards,Mobile App: Games,https://museaward.com/winner-info.php?id=231483,[ Puzzle Palace ]
23,GOLD,Muse Awards,Social: Healthcare,https://museaward.com/winner-info.php?id=231444,[ Metro Vein: Doll Edition ]
24,GOLD,Muse Awards,Corporate Identity Redesign,https://museaward.com/winner-info.php?id=231458,[ Comics Kingdom Rebrand ]
25,SILVER,Muse Awards,Brand Identity,https://museaward.com/winner-info.php?id=231446,[ Week& Bespoke Brand Identity Birth ]
26,SILVER,Muse Awards,Logo Design,https://museaward.com/winner-info.php?id=231448,[ Week& Bespoke Brand Identity Birth ]
27,SILVER,Muse Awards,Logo Design,https://museaward.com/winner-info.php?id=231460,[ Comics Kingdom Rebrand ]
28,SILVER,Muse Awards,Style Guide,https://museaward.com/winner-info.php?id=231459,[ Comics Kingdom Rebrand ]
29,SILVER,Muse Awards,Logo Design,https://museaward.com/winner-info.php?id=231651,[ Nightingale Veterinary Partners ]
30,SILVER,Muse Awards,Interactive Brand Experience,https://museaward.com/winner-info.php?id=231665,[ The Vein Quiz ]
31,SILVER,Muse Awards,Logo Design,https://museaward.com/winner-info.php?id=231652,[ Pet Dermatology Center ]
